,Facility/HHS Code,Facility/HHS Desc,Last Month in QTR,Triage Category,Number of Attendances,Variation in the number of attendances (%),Patients Seen within clinically recommended times (%),Median Waiting time to treatment (minutes),Patients who did not wait for treatment (%),Patients admitted from the Emergency Department (%),Admissions to hospital within 4 hours (%),Patients whose ED stay was within 4 hours (%),Number of patients who left after treatment commenced,Percentage of patients who left after treatment commenced (%),Number of patients who did not wait for treatment,Median Wait Traffic Light
257,101,Tara,Jun-24,ALL,1347,12.4,96.7,1,1,12.2,89,95.9,8,0.6,14,
258,102,Taroom,Jun-24,1,0,-,-,-,-,-,-,-,0,-,0,
259,102,Taroom,Jun-24,2,15,15.4,100,0,0,46.7,85.7,86.7,1,6.7,0,
260,102,Taroom,Jun-24,3,48,-2,95.8,0,0,22.9,100,100,0,0,0,
261,102,Taroom,Jun-24,4,122,10.9,99.1,0,0,11.5,92.9,99.2,1,0.8,0,
262,102,Taroom,Jun-24,5,433,46.8,100,2,0.2,1.2,100,99.8,0,0,1,
263,102,Taroom,Jun-24,ALL,618,32.3,99.3,0,0.2,6,94.6,99.4,2,0.3,1,
264,103,Texas,Jun-24,1,0,-,-,-,-,-,-,-,0,-,0,
265,103,Texas,Jun-24,2,12,9.1,100,0,0,50,50,66.7,0,0,0,
266,103,Texas,Jun-24,3,26,-55.2,96.2,0,0,30.8,62.5,73.1,0,0,0,
267,103,Texas,Jun-24,4,166,104.9,99.3,0,0.6,10.8,88.9,94,0,0,1,
268,103,Texas,Jun-24,5,184,-2.6,100,0,1.1,1.6,100,98.9,0,0,2,
269,103,Texas,Jun-24,ALL,388,14.5,99.3,0,0.8,9,77.1,94.1,0,0,3,
270,104,Toowoomba,Jun-24,1,181,22.3,100,0,0,64.6,16.2,22.7,3,1.7,0,
271,104,Toowoomba,Jun-24,2,3447,-2.1,48.8,11,0.4,48.5,19.7,31.4,106,3.1,15,
272,104,Toowoomba,Jun-24,3,8995,-4.3,44.7,36,4.3,34.2,28.8,40.6,1366,15.2,386,
273,104,Toowoomba,Jun-24,4,2919,-14,60.3,45,7.3,13.2,32.5,61,449,15.4,214,
274,104,Toowoomba,Jun-24,5,323,-22.7,84.1,32,10.5,6.8,50,81.4,48,14.9,34,
275,104,Toowoomba,Jun-24,ALL,15865,-6,49.8,28,4.1,33.2,26,43,1972,12.4,649,
276,105,Warwick,Jun-24,1,27,80,100,0,0,44.4,25,33.3,0,0,0,
277,105,Warwick,Jun-24,2,791,10.3,43,13,0.4,54.9,55.1,57.1,15,1.9,3,
278,105,Warwick,Jun-24,3,1957,7.5,44.1,37,3.8,28.6,45.7,66.2,23,1.2,75,
279,105,Warwick,Jun-24,4,2147,-4.8,56.1,50,10.6,6.6,35.2,83.7,22,1,227,
280,105,Warwick,Jun-24,5,662,5.2,85.5,38,9.8,1.1,57.1,91.8,2,0.3,65,
281,105,Warwick,Jun-24,ALL,5584,2.7,53.1,35,6.6,20.7,47.8,74.5,62,1.1,370,
282,106,Wandoan,Jun-24,1,0,-,-,-,-,-,-,-,0,-,0,
283,106,Wandoan,Jun-24,2,0,-100,-,-,-,-,-,-,0,-,0,
284,106,Wandoan,Jun-24,3,6,50,100,0,0,0,-,100,0,0,0,
285,106,Wandoan,Jun-24,4,41,-2.4,100,0,0,0,-,100,0,0,0,
286,106,Wandoan,Jun-24,5,342,83.9,100,0,0,0,-,100,0,0,0,
287,106,Wandoan,Jun-24,ALL,389,65.5,100,0,0,0,-,100,0,0,0,
288,112,Charleville,Jun-24,1,3,-,100,0,0,33.3,100,33.3,0,0,0,
289,112,Charleville,Jun-24,2,82,-18,100,0,0,56.1,69.6,73.2,0,0,0,
290,112,Charleville,Jun-24,3,375,7.4,98.4,2,1.3,25.9,78.4,86.9,1,0.3,5,
291,112,Charleville,Jun-24,4,525,3.1,100,2,1.7,6.1,78.1,96,0,0,9,
292,112,Charleville,Jun-24,5,142,-35.5,100,2,6.3,6.3,88.9,97.9,1,0.7,9,
293,112,Charleville,Jun-24,ALL,1127,-4.3,99.4,1,2,16.4,76.8,91.4,2,0.2,23,
294,113,Cunnamulla,Jun-24,1,1,-,100,0,0,0,-,100,0,0,0,
295,113,Cunnamulla,Jun-24,2,32,-5.9,100,0,0,15.6,60,68.8,0,0,0,
296,113,Cunnamulla,Jun-24,3,92,26,97.8,0,2.2,30.4,82.1,84.8,2,2.2,2,
297,113,Cunnamulla,Jun-24,4,120,-29,100,0,2.5,6.7,100,93.3,2,1.7,3,
298,113,Cunnamulla,Jun-24,5,117,60.3,99.1,0,0,3.4,75,98.3,1,0.9,0,
299,113,Cunnamulla,Jun-24,ALL,362,3.7,99.1,0,1.4,12.4,82.2,90.6,5,1.4,5,
300,114,Dirranbandi,Jun-24,1,1,-,100,0,0,0,-,0,0,0,0,
301,114,Dirranbandi,Jun-24,2,15,0,100,0,0,33.3,80,86.7,0,0,0,
302,114,Dirranbandi,Jun-24,3,58,5.5,96.5,0,1.7,13.8,100,87.9,1,1.7,1,
303,114,Dirranbandi,Jun-24,4,106,-14.5,99,0,0.9,2.8,66.7,96.2,0,0,1,
304,114,Dirranbandi,Jun-24,5,66,-8.3,100,0,3,4.5,100,100,0,0,2,
305,114,Dirranbandi,Jun-24,ALL,246,-7.5,98.7,0,1.6,7.7,89.5,94.3,1,0.4,4,
306,116,Mitchell,Jun-24,1,2,0,100,0,0,100,100,100,0,0,0,
307,116,Mitchell,Jun-24,2,22,4.8,100,0,0,59.1,100,95.5,0,0,0,
308,116,Mitchell,Jun-24,3,103,145.2,99,0,0,50.5,98.1,96.1,2,1.9,0,
309,116,Mitchell,Jun-24,4,117,30,100,0,0.9,9.4,100,100,2,1.7,1,
310,116,Mitchell,Jun-24,5,42,-60.4,100,4,2.4,4.8,100,97.6,0,0,1,
311,116,Mitchell,Jun-24,ALL,286,9.6,99.6,0,0.7,28,98.8,97.9,4,1.4,2,
312,117,Mungindi,Jun-24,1,1,0,100,0,0,100,100,100,0,0,0,
313,117,Mungindi,Jun-24,2,13,116.7,100,0,0,30.8,50,84.6,0,0,0,
314,117,Mungindi,Jun-24,3,57,16.3,100,0,0,21.1,66.7,78.9,2,3.5,0,
315,117,Mungindi,Jun-24,4,101,21.7,99,0,1,5.9,100,90.1,0,0,1,
316,117,Mungindi,Jun-24,5,25,-40.5,100,0,0,0,-,96,0,0,0,
317,117,Mungindi,Jun-24,ALL,197,8.8,99.5,0,0.5,11.7,73.9,87.3,2,1,1,
318,118,Quilpie,Jun-24,1,0,-,-,-,-,-,-,-,0,-,0,
319,118,Quilpie,Jun-24,2,11,-35.3,100,0,0,36.4,100,100,0,0,0,
320,118,Quilpie,Jun-24,3,36,-42.9,100,0,0,16.7,100,88.9,2,5.6,0,
321,118,Quilpie,Jun-24,4,77,37.5,100,0,0,6.5,100,100,1,1.3,0,
322,118,Quilpie,Jun-24,5,46,-16.4,100,0,0,2.2,100,97.8,0,0,0,
323,118,Quilpie,Jun-24,ALL,170,-11,100,0,0,9.4,100,97.1,3,1.8,0,
324,119,Roma,Jun-24,1,5,150,100,0,0,80,0,0,0,0,0,
325,119,Roma,Jun-24,2,203,-10.2,100,2,0,40.9,53,65,0,0,0,
326,119,Roma,Jun-24,3,752,-18.9,96.7,8,2,30.3,53.9,74.3,2,0.3,15,
327,119,Roma,Jun-24,4,1433,4.1,95,14,4.3,7.7,51.4,87.6,7,0.5,61,
328,119,Roma,Jun-24,5,394,9.4,98.8,16,7.6,4.1,75,94.9,0,0,30,
329,119,Roma,Jun-24,ALL,2787,-3.6,96.4,11,3.8,15.9,53.4,83.2,9,0.3,106,
330,120,St George,Jun-24,1,1,-50,100,0,0,100,100,100,0,0,0,
331,120,St George,Jun-24,2,43,-17.3,100,0,0,53.5,100,97.7,0,0,0,
332,120,St George,Jun-24,3,222,25.4,99.1,1,0.9,35.6,93.7,95.9,0,0,2,
333,120,St George,Jun-24,4,600,17.9,99.5,1,0.2,10.7,100,98.8,2,0.3,1,
334,120,St George,Jun-24,5,730,26.3,100,1,1.6,2.5,100,99.3,0,0,12,
335,120,St George,Jun-24,ALL,1596,21.1,99.7,1,0.9,11.6,97.3,98.6,2,0.1,15,
336,121,Surat,Jun-24,1,0,-,-,-,-,-,-,-,0,-,0,
337,121,Surat,Jun-24,2,11,22.2,100,0,0,36.4,100,100,0,0,0,
338,121,Surat,Jun-24,3,39,-18.8,94.9,0,0,12.8,100,92.3,0,0,0,
339,121,Surat,Jun-24,4,86,36.5,98.8,2,1.2,3.5,100,95.3,0,0,1,
340,121,Surat,Jun-24,5,76,40.7,100,2,0,1.3,100,93.4,0,0,0,
341,121,Surat,Jun-24,ALL,212,21.8,98.6,0,0.5,6.1,100,94.3,0,0,1,
342,133,Biloela,Jun-24,1,6,50,100,0,0,50,0,50,0,0,0,
343,133,Biloela,Jun-24,2,212,71,73.2,4,1.4,34.4,75.3,72.6,6,2.8,3,
344,133,Biloela,Jun-24,3,670,28.8,73.4,11,2.4,14,62.8,79.7,11,1.6,16,
345,133,Biloela,Jun-24,4,800,-4.2,85.4,14,7.6,3.5,53.6,91.9,1,0.1,61,
346,133,Biloela,Jun-24,5,373,-26.1,97.8,10,6.7,2.9,90.9,97.3,2,0.5,25,
347,133,Biloela,Jun-24,ALL,2061,3.7,81.7,10,5.1,10.1,66.5,86.8,20,1,105,
348,134,Blackwater,Jun-24,1,3,200,100,0,0,33.3,0,33.3,0,0,0,
349,134,Blackwater,Jun-24,2,144,9.1,88.7,0,2.1,7.6,45.5,66,7,4.9,3,
350,134,Blackwater,Jun-24,3,382,-6.1,92.2,5,2.9,3.4,69.2,89,10,2.6,11,
351,134,Blackwater,Jun-24,4,916,26.5,93.6,9,2.4,0.9,87.5,98,9,1,22,
352,134,Blackwater,Jun-24,5,292,10.6,98.9,7,3.8,0.3,100,98.6,1,0.3,11,
353,134,Blackwater,Jun-24,ALL,1737,13.7,93.7,6,2.7,2,64.7,93.4,27,1.6,47,
354,135,Emerald,Jun-24,1,24,166.7,100,0,0,50,41.7,45.8,0,0,0,
355,135,Emerald,Jun-24,2,448,13.4,82.6,4,0.2,48.2,65.7,65.4,12,2.7,1,
356,135,Emerald,Jun-24,3,1385,6.7,64.5,22,1.6,25.1,52.4,72.7,37,2.7,22,
357,135,Emerald,Jun-24,4,1970,-6,66.2,34,6.4,4.9,57.3,82.4,106,5.4,126,
358,135,Emerald,Jun-24,5,367,-33.6,81.4,32,12,0.8,100,87.5,10,2.7,44,
359,135,Emerald,Jun-24,ALL,4194,-3.6,68.8,23,4.6,16.1,57.4,77.6,165,3.9,193,
360,136,Gladstone,Jun-24,1,34,-29.2,100,0,0,55.9,21.1,26.5,2,5.9,0,
361,136,Gladstone,Jun-24,2,1197,12,67.5,8,0.1,43.6,37.9,47.5,46,3.8,1,
362,136,Gladstone,Jun-24,3,3638,13.5,79.5,16,2.9,23.4,21.7,50.8,267,7.3,105,
363,136,Gladstone,Jun-24,4,4393,1.6,93,18,5.7,6.3,21,70.8,347,7.9,252,
364,136,Gladstone,Jun-24,5,451,-15.7,92.8,18,7.3,2.4,36.4,88.7,19,4.2,33,
365,136,Gladstone,Jun-24,ALL,9713,5.8,84.6,15,4,17.3,26.7,61.1,681,7,391,
366,139,Mount Morgan,Jun-24,1,1,-83.3,100,0,0,0,-,100,0,0,0,
367,139,Mount Morgan,Jun-24,2,114,11.8,94.7,0,0,15.8,72.2,63.2,2,1.8,0,
368,139,Mount Morgan,Jun-24,3,316,-17.3,85.8,5,1.6,9.5,53.3,76.3,4,1.3,5,
369,139,Mount Morgan,Jun-24,4,360,16.1,96.7,4,2.8,3.9,71.4,94.2,8,2.2,10,
370,139,Mount Morgan,Jun-24,5,55,-21.4,97.5,0,10.9,1.8,100,98.2,1,1.8,6,
371,139,Mount Morgan,Jun-24,ALL,846,-2.8,92.2,2,2.5,7.4,63.5,83.6,15,1.8,21,
372,140,Moura,Jun-24,1,1,0,100,0,0,0,-,100,0,0,0,
373,140,Moura,Jun-24,2,44,37.5,88.4,0,2.3,45.5,100,88.6,0,0,1,
374,140,Moura,Jun-24,3,97,21.3,95.9,0,0,32,87.1,91.8,5,5.2,0,
375,140,Moura,Jun-24,4,194,1.6,98.4,0,3.1,4.1,100,99.5,2,1,6,
376,140,Moura,Jun-24,5,196,-10.5,100,0,0.5,1,100,97.4,0,0,1,
377,140,Moura,Jun-24,ALL,532,1.7,97.3,0,1.5,11.5,93.4,96.4,7,1.3,8,
378,141,Rockhampton,Jun-24,1,90,4.7,100,0,0,71.1,25,25.6,3,3.3,0,
379,141,Rockhampton,Jun-24,2,2340,7,85.2,5,0.3,47.4,20.4,36,115,4.9,6,
380,141,Rockhampton,Jun-24,3,6212,-2.2,63.5,18,2.5,28.6,21.9,48.9,340,5.5,153,
381,141,Rockhampton,Jun-24,4,3735,-12.5,76.8,20,5,9.1,23.2,72.9,181,4.8,185,
382,141,Rockhampton,Jun-24,5,367,-16,92.7,18,8.7,2.5,33.3,89.4,15,4.1,32,
383,141,Rockhampton,Jun-24,ALL,12744,-4.4,72.5,13,3,25.9,21.6,54.6,654,5.1,376,
384,142,Springsure,Jun-24,1,0,-,-,-,-,-,-,-,0,-,0,
385,142,Springsure,Jun-24,2,34,25.9,94.1,0,0,35.3,83.3,88.2,1,2.9,0,
386,142,Springsure,Jun-24,3,106,7.1,95.2,0,0,17.9,84.2,84,0,0,0,
387,142,Springsure,Jun-24,4,157,4,100,0,1.3,5.7,55.6,88.5,2,1.3,2,
388,142,Springsure,Jun-24,5,193,116.9,100,0,0.5,2.6,100,100,0,0,1,
389,142,Springsure,Jun-24,ALL,490,33.9,98.1,0,0.6,9.2,80,92,3,0.6,3,
390,144,Capricorn Coast,Jun-24,1,16,45.5,100,0,0,43.8,28.6,37.5,0,0,0,
391,144,Capricorn Coast,Jun-24,2,577,49.1,81.2,4,0.7,22.7,42.7,43.2,25,4.3,4,
392,144,Capricorn Coast,Jun-24,3,1715,0.6,53.7,28,3.4,10.4,19.1,56.8,63,3.7,58,
393,144,Capricorn Coast,Jun-24,4,2044,-4.4,69,28,8,2.2,29.5,80.3,62,3,163,
394,144,Capricorn Coast,Jun-24,5,370,37.5,94.4,16,10.8,1.1,25,91.6,11,3,40,
395,144,Capricorn Coast,Jun-24,ALL,4722,4.7,66.4,21,5.6,7.7,29.1,68,161,3.4,265,
396,145,Woorabinda,Jun-24,1,3,-,100,0,0,0,-,66.7,0,0,0,
397,145,Woorabinda,Jun-24,2,68,15.3,100,0,2.9,17.6,75,69.1,2,2.9,2,
398,145,Woorabinda,Jun-24,3,281,1.8,98.5,0,4.3,4.3,91.7,83.6,7,2.5,12,
399,145,Woorabinda,Jun-24,4,162,-1.2,99.4,0,3.7,3.7,83.3,95.1,1,0.6,6,
400,145,Woorabinda,Jun-24,5,147,-67.3,100,0,2,0,-,98.6,2,1.4,3,
401,145,Woorabinda,Jun-24,ALL,661,-30.3,99.2,0,3.5,4.5,83.3,88.2,12,1.8,23,
402,152,Barcaldine,Jun-24,1,0,-100,-,-,-,-,-,-,0,-,0,
403,152,Barcaldine,Jun-24,2,40,42.9,95,0,0,65,92.3,87.5,0,0,0,
404,152,Barcaldine,Jun-24,3,130,36.8,96.9,0,0.8,40,88.5,92.3,1,0.8,1,
405,152,Barcaldine,Jun-24,4,215,1.4,96.7,0,1.9,7.4,68.8,94,0,0,4,
406,152,Barcaldine,Jun-24,5,90,-29.1,100,2,5.6,3.3,66.7,95.6,0,0,5,
407,152,Barcaldine,Jun-24,ALL,475,1.9,97.2,0,2.1,20.4,85.6,93.3,1,0.2,10,
408,153,Blackall,Jun-24,1,4,300,100,0,0,75,66.7,75,0,0,0,
409,153,Blackall,Jun-24,2,35,20.7,97.1,0,0,45.7,81.3,85.7,0,0,0,
410,153,Blackall,Jun-24,3,109,25.3,98.2,0,0,25.7,96.4,90.8,3,2.8,0,
411,153,Blackall,Jun-24,4,208,37.7,100,0,0,14.9,96.8,99,0,0,0,
412,153,Blackall,Jun-24,5,73,-47.9,100,0,4.1,8.2,100,100,0,0,3,
413,153,Blackall,Jun-24,ALL,429,5.1,99.3,0,0.7,19.6,92.9,95.8,3,0.7,3,
414,156,Longreach,Jun-24,1,1,-50,100,0,0,0,-,100,0,0,0,
415,156,Longreach,Jun-24,2,82,-18.8,93.9,1,0,40.2,72.7,75.6,1,1.2,0,
416,156,Longreach,Jun-24,3,296,-11.6,93.7,4,2.7,31.1,72.8,82.8,1,0.3,8,
417,156,Longreach,Jun-24,4,558,10.7,94,14,3.9,9.7,68.5,87.6,1,0.2,22,
418,156,Longreach,Jun-24,5,638,32.1,98.8,14,3.9,2.8,72.2,95.5,1,0.2,25,
419,156,Longreach,Jun-24,ALL,1575,10.5,95.7,9,3.5,12.5,71.6,89.3,4,0.3,55,
420,159,Winton,Jun-24,1,0,-,-,-,-,-,-,-,0,-,0,
421,159,Winton,Jun-24,2,24,-11.1,95.8,0,0,50,91.7,95.8,1,4.2,0,
422,159,Winton,Jun-24,3,69,-9.2,85.5,0,0,24.6,94.1,94.2,0,0,0,
423,159,Winton,Jun-24,4,160,14.3,96.8,0,1.3,10.6,100,99.4,1,0.6,2,
424,159,Winton,Jun-24,5,83,93,98.7,0,1.2,1.2,0,97.6,0,0,1,
425,159,Winton,Jun-24,ALL,336,17.5,94.8,0,0.9,14,93.6,97.6,2,0.6,3,
426,171,Clermont MPHS,Jun-24,1,9,350,100,0,0,0,-,77.8,0,0,0,
427,171,Clermont MPHS,Jun-24,2,74,-6.3,97.3,0,0,41.9,93.5,89.2,2,2.7,0,
428,171,Clermont MPHS,Jun-24,3,158,-38,98.1,0,0.6,31.6,94,94.3,1,0.6,1,
429,171,Clermont MPHS,Jun-24,4,248,-36.4,98.3,0,0,6.9,82.4,97.2,2,0.8,0,
430,171,Clermont MPHS,Jun-24,5,130,-52.7,100,0,0.8,3.1,75,96.9,1,0.8,1,
431,171,Clermont MPHS,Jun-24,ALL,619,-38.2,98.5,0,0.3,16.5,91.2,95.2,6,1,2,
432,172,Mackay,Jun-24,1,108,10.2,100,1,0,72.2,34.6,34.3,0,0,0,
433,172,Mackay,Jun-24,2,3944,13.3,98.4,7,0.3,53.3,24.3,41.1,29,0.7,13,
434,172,Mackay,Jun-24,3,6162,-1,81.2,15,2.5,32.2,24.2,54.3,113,1.8,157,
435,172,Mackay,Jun-24,4,3312,0.2,89.1,22,3.5,9.5,33.2,80.1,62,1.9,117,
436,172,Mackay,Jun-24,5,503,17.8,97.6,25,6,3.6,38.9,90.1,7,1.4,30,
437,172,Mackay,Jun-24,ALL,14029,3.6,88.7,10,2.3,32.1,25.1,57.8,211,1.5,317,
438,173,Moranbah,Jun-24,1,1,-80,100,0,0,0,-,100,0,0,0,
439,173,Moranbah,Jun-24,2,146,-17,97.3,0,0,17.1,76,77.4,5,3.4,0,
440,173,Moranbah,Jun-24,3,491,-7.2,96.9,0,0.8,10.2,84,87.2,15,3.1,4,
441,173,Moranbah,Jun-24,4,657,25.1,97.5,0,1.5,1.5,80,96.3,8,1.2,10,
442,173,Moranbah,Jun-24,5,568,29.1,99.4,5,2.6,0.4,100,98.9,1,0.2,15,
443,173,Moranbah,Jun-24,ALL,1863,11.2,97.7,0,1.6,4.7,81.6,93.2,29,1.6,29,
444,174,Proserpine,Jun-24,1,30,87.5,100,0,0,20,50,46.7,0,0,0,
445,174,Proserpine,Jun-24,2,360,-10.4,86.7,4,0,29.4,40.6,59.4,6,1.7,0,
446,174,Proserpine,Jun-24,3,1338,5.7,87.8,12,1.2,17.7,38,73.2,14,1,16,
447,174,Proserpine,Jun-24,4,1978,-10.8,88.8,18,2.3,4.4,50.6,91.1,2,0.1,46,
448,174,Proserpine,Jun-24,5,779,-10,96.3,21,5,1,62.5,96.9,2,0.3,39,
449,174,Proserpine,Jun-24,ALL,4485,-5.9,89.6,14,2.3,9.9,41.7,83.9,24,0.5,101,
450,175,Sarina,Jun-24,1,4,100,100,1,0,0,-,100,0,0,0,
451,175,Sarina,Jun-24,2,105,1.9,70.5,6,0,16.2,94.1,84.8,4,3.8,0,
452,175,Sarina,Jun-24,3,440,24.6,90.1,10,0.2,4.5,65,93.4,5,1.1,1,
453,175,Sarina,Jun-24,4,977,71.4,96.7,10,0.5,1.6,87.5,98.5,4,0.4,5,
454,175,Sarina,Jun-24,5,475,59.4,99.4,9,3.6,2.5,91.7,99.2,8,1.7,17,
455,175,Sarina,Jun-24,ALL,2001,50.9,94.2,10,1.1,3.2,83.1,96.8,21,1,23,
456,176,Dysart,Jun-24,1,2,0,100,0,0,50,100,100,0,0,0,
457,176,Dysart,Jun-24,2,76,18.8,93.4,0,0,61.8,100,96.1,1,1.3,0,
458,176,Dysart,Jun-24,3,177,-26.3,96,0,1.1,25.4,100,95.5,1,0.6,2,
459,176,Dysart,Jun-24,4,266,3.9,98.5,0,1.1,6.8,100,100,1,0.4,3,
460,176,Dysart,Jun-24,5,111,-15.9,100,0,0,5.4,100,100,1,0.9,0,
461,176,Dysart,Jun-24,ALL,632,-8.9,97.4,0,0.8,18.5,100,98.3,4,0.6,5,
462,191,Ayr,Jun-24,1,14,180,100,0,0,7.1,100,71.4,1,7.1,0,
463,191,Ayr,Jun-24,2,239,11.2,99.6,0,0,32.2,58.4,70.7,5,2.1,0,
464,191,Ayr,Jun-24,3,948,9.3,91.4,0,1.3,23.9,60.8,81.5,7,0.7,12,
465,191,Ayr,Jun-24,4,1962,17.1,95.3,0,3,5.9,70.7,94.5,9,0.5,58,
466,191,Ayr,Jun-24,5,489,21.9,99.2,1,7.4,1.2,100,98.4,2,0.4,36,
467,191,Ayr,Jun-24,ALL,3652,15.5,95,0,2.9,11.7,63.7,90,24,0.7,106,
468,192,Bowen,Jun-24,1,10,-28.6,100,0,0,30,0,20,0,0,0,
469,192,Bowen,Jun-24,2,274,12.8,83.1,0,0.4,21.9,35,50.4,3,1.1,1,
470,192,Bowen,Jun-24,3,995,6.4,88.6,1,1.8,18.7,27.4,67.2,13,1.3,18,
471,192,Bowen,Jun-24,4,1873,10.7,90.3,0,5.9,3.1,36.2,89.2,9,0.5,110,
472,192,Bowen,Jun-24,5,576,1.1,96.6,0,6.3,0.5,66.7,96,1,0.2,36,
473,192,Bowen,Jun-24,ALL,3728,7.9,89.8,0,4.4,8.3,30.6,81.4,26,0.7,165,
474,193,Charters Towers,Jun-24,1,13,62.5,100,0,0,30.8,100,100,1,7.7,0,
475,193,Charters Towers,Jun-24,2,173,-2.3,100,2,0,34.7,98.3,96,7,4,0,
476,193,Charters Towers,Jun-24,3,617,11.6,88.1,8,2.1,27.1,93.4,93.4,8,1.3,13,
477,193,Charters Towers,Jun-24,4,1178,-7.3,91.7,11,2.9,8.4,94.9,96.9,10,0.8,34,
478,193,Charters Towers,Jun-24,5,758,25.3,98.8,10,4.6,1.1,100,98.5,1,0.1,35,
479,193,Charters Towers,Jun-24,ALL,2739,4.8,93.3,8,3,12.3,95,96.5,27,1,82,
480,196,Ingham,Jun-24,1,10,-23.1,100,0,0,30,33.3,60,1,10,0,
481,196,Ingham,Jun-24,2,273,42.9,83.5,5,0.4,40.3,72.7,77.7,5,1.8,1,
482,196,Ingham,Jun-24,3,770,0,87.8,9,1,27.1,67,81.3,3,0.4,8,
483,196,Ingham,Jun-24,4,1076,8.1,94.6,9,2.3,10.4,77.7,94.7,18,1.7,25,
484,196,Ingham,Jun-24,5,487,-11.1,99.7,7,3.1,8.8,95.3,98.6,2,0.4,15,
485,196,Ingham,Jun-24,ALL,2616,3.9,91.9,8,1.9,18.2,73.2,89.6,29,1.1,49,
486,197,Joyce Palmer HS,Jun-24,1,5,66.7,100,0,0,40,50,40,0,0,0,
487,197,Joyce Palmer HS,Jun-24,2,166,115.6,79.9,5,1.2,45.8,81.6,75.3,17,10.2,2,
488,197,Joyce Palmer HS,Jun-24,3,437,-14.3,83.5,11,4.3,22.9,75,79.2,34,7.8,19,
489,197,Joyce Palmer HS,Jun-24,4,464,-25.6,95.8,8,5.2,10.3,62.5,85.8,44,9.5,24,
490,197,Joyce Palmer HS,Jun-24,5,405,21.3,99,5,7.7,3.2,46.2,93.8,28,6.9,31,
491,197,Joyce Palmer HS,Jun-24,ALL,1477,-4.6,90.7,8,5.1,16.2,72.8,84.7,123,8.3,76,
492,200,Townsville,Jun-24,1,179,5.9,100,0,0,87.2,58.3,57.5,0,0,0,
493,200,Townsville,Jun-24,2,3614,-0.3,85.7,4,0.2,49.8,27.4,40,84,2.3,6,
494,200,Townsville,Jun-24,3,12075,-13.7,73.4,15,3.6,31.9,20.2,45.6,775,6.4,438,
495,200,Townsville,Jun-24,4,7454,3,77.3,25,6.7,15.4,22.4,63.5,448,6,502,
496,200,Townsville,Jun-24,5,902,74.8,94.2,24,7.9,5.7,23.5,84.3,32,3.5,71,
497,200,Townsville,Jun-24,ALL,24224,-5.1,77.4,14,4.2,28.9,23.3,51.8,1339,5.5,1017,
498,201,Royal Brisbane & Women's,Jun-24,1,401,86.5,100,0,0,83,47.7,46.6,6,1.5,0,
499,201,Royal Brisbane & Women's,Jun-24,2,3315,-12.2,67.6,9,0.8,51,27.5,39.5,85,2.6,26,
500,201,Royal Brisbane & Women's,Jun-24,3,8334,6.3,43.9,37,3.6,41.9,24.2,35.6,215,2.6,301,
501,201,Royal Brisbane & Women's,Jun-24,4,8003,2.9,67.6,36,6.9,26.2,26.6,49.9,273,3.4,551,
502,201,Royal Brisbane & Women's,Jun-24,5,1701,-15.1,90.5,31,12.6,9.3,34.8,76.1,57,3.4,214,
503,201,Royal Brisbane & Women's,Jun-24,ALL,21754,0.7,60.7,29,5,35.7,26.8,44.8,636,2.9,1092,
504,202,Queensland Children's,Jun-24,1,100,-1,100,1,0,84,44,50,0,0,0,
505,202,Queensland Children's,Jun-24,2,2596,-4.8,87.7,7,0,64.3,49.7,58.9,2,0.1,0,
506,202,Queensland Children's,Jun-24,3,6745,-3.1,74.2,15,0.9,31.8,33.4,56.4,85,1.3,62,
507,202,Queensland Children's,Jun-24,4,8442,-6.9,82.1,21,3.6,13.5,30.9,66.4,182,2.2,305,
508,202,Queensland Children's,Jun-24,5,1808,9.2,94.5,24,4.5,6.7,49.6,80.5,25,1.4,82,
509,202,Queensland Children's,Jun-24,ALL,19691,-4,81.3,14,2.3,26.2,38.7,63.2,294,1.5,449,
510,211,Atherton,Jun-24,1,32,-25.6,100,0,0,43.8,64.3,56.3,1,3.1,0,
511,211,Atherton,Jun-24,2,471,-5.6,81.9,6,0.2,47.6,45.1,49.5,7,1.5,1,
512,211,Atherton,Jun-24,3,1665,11.9,71.3,19,2.2,25.3,33.2,63.7,11,0.7,36,
513,211,Atherton,Jun-24,4,1917,-8.5,69.8,33,5.6,8.3,37.5,83.7,5,0.3,108,
514,211,Atherton,Jun-24,5,897,4.2,90.2,23,7.2,1.4,69.2,95.3,1,0.1,65,
515,211,Atherton,Jun-24,ALL,4982,-0.1,74.9,21,4.2,16.7,38.3,75.7,25,0.5,210,
516,212,Babinda,Jun-24,1,2,-33.3,100,0,0,0,-,100,0,0,0,
517,212,Babinda,Jun-24,2,54,-22.9,100,0,0,22.2,91.7,79.6,3,5.6,0,
518,212,Babinda,Jun-24,3,123,-31.7,100,0,1.6,26.8,84.8,90.2,1,0.8,2,
519,212,Babinda,Jun-24,4,279,-8.5,100,0,2.9,5.4,93.3,97.8,1,0.4,8,
520,212,Babinda,Jun-24,5,371,33.5,100,0,3.8,11.3,95.2,97,0,0,14,
521,212,Babinda,Jun-24,ALL,829,-0.8,100,0,2.9,12.3,91.2,95.2,5,0.6,24,
522,213,Bamaga,Jun-24,1,3,0,100,0,0,66.7,100,100,0,0,0,
523,213,Bamaga,Jun-24,2,109,43.4,96.3,3,0,50.5,89.1,82.6,1,0.9,0,
